Gene ID	Chromosome	Peak_start	Peak_end	annotation
AT1G18500	Chr1	6369445	6369495	Promoter
AT1G18500	Chr1	6369522	6369591	Exon (AT1G18500.1/AT1G18500, exon 1 of 12)
AT1G18540	Chr1	6377570	6377601	Exon (AT1G18540.1/AT1G18540, exon 4 of 4)
AT1G18540	Chr1	6377706	6377716	Exon (AT1G18540.1/AT1G18540, exon 3 of 4)
AT1G18540	Chr1	6377730	6377794	Exon (AT1G18540.1/AT1G18540, exon 3 of 4)
AT1G18540	Chr1	6378296	6378316	Promoter
AT1G18540	Chr1	6378368	6378402	Promoter
AT1G18590	Chr1	6399309	6399340	Exon (AT1G18590.1/AT1G18590, exon 1 of 1)
AT1G18650	Chr1	6420174	6420188	Intron (AT1G18650.1/AT1G18650, intron 1 of 3)
AT1G18660	Chr1	6421706	6421719	Exon (AT1G18660.4/AT1G18660, exon 4 of 19)
AT1G18720	Chr1	6458086	6458127	Exon (AT1G18720.2/AT1G18720, exon 5 of 5)
AT1G18720	Chr1	6459523	6459536	Exon (AT1G18720.2/AT1G18720, exon 2 of 5)
AT1G18730	Chr1	6460679	6460683	Promoter
AT1G18730	Chr1	6460769	6460790	Promoter
AT1G18730	Chr1	6461227	6461230	Exon (AT1G18730.1/AT1G18730, exon 4 of 6)
AT1G18730	Chr1	6461318	6461339	Exon (AT1G18730.1/AT1G18730, exon 5 of 6)
AT1G18730	Chr1	6461384	6461388	Exon (AT1G18730.1/AT1G18730, exon 5 of 6)
AT1G18730	Chr1	6461994	6462023	3' UTR
AT1G05423	Chr1	6465949	6465967	Promoter
AT1G18830	Chr1	6491413	6491426	Exon (AT1G18830.2/AT1G18830, exon 11 of 21)
AT1G19000	Chr1	6562183	6562192	Exon (AT1G19000.2/AT1G19000, exon 2 of 3)
AT1G19000	Chr1	6562383	6562411	Promoter
AT1G19000	Chr1	6562569	6562584	Promoter
AT1G19130	Chr1	6609572	6609592	Exon (AT1G19130.1/AT1G19130, exon 3 of 3)
AT1G05467	Chr1	6610420	6610426	Promoter
AT1G05467	Chr1	6610437	6610441	Promoter
AT1G19140	Chr1	6612378	6612384	Promoter
AT1G19150	Chr1	6613011	6613056	Promoter
AT1G19350	Chr1	6689519	6689541	Exon (AT1G19350.4/AT1G19350, exon 3 of 3)
AT1G19350	Chr1	6689571	6689598	Exon (AT1G19350.4/AT1G19350, exon 3 of 3)
AT1G19400	Chr1	6712254	6712269	3' UTR
AT1G19540	Chr1	6767094	6767103	Exon (AT1G19540.1/AT1G19540, exon 5 of 5)
AT1G19540	Chr1	6767502	6767604	3' UTR
AT1G19540	Chr1	6767870	6767873	3' UTR
AT1G19540	Chr1	6767877	6767899	3' UTR
AT1G19540	Chr1	6767917	6767925	3' UTR
AT1G19565	Chr1	6773099	6773112	Promoter
AT1G19570	Chr1	6773511	6773567	Exon (AT1G19570.1/AT1G19570, exon 3 of 3)
AT1G19570	Chr1	6773570	6773602	Exon (AT1G19570.1/AT1G19570, exon 3 of 3)
AT1G19570	Chr1	6773844	6773864	Exon (AT1G19570.1/AT1G19570, exon 3 of 3)
AT1G19700	Chr1	6810986	6811000	Exon (AT1G19700.1/AT1G19700, exon 3 of 5)
AT1G19710	Chr1	6816378	6816391	Exon (AT1G19710.1/AT1G19710, exon 5 of 5)
AT1G19730	Chr1	6823937	6823964	Promoter
AT1G19740	Chr1	6824545	6824559	Promoter
AT1G19740	Chr1	6824568	6824568	Promoter
AT1G19740	Chr1	6824949	6824949	Exon (AT1G19740.1/AT1G19740, exon 1 of 1)
AT1G19740	Chr1	6824955	6824959	Exon (AT1G19740.1/AT1G19740, exon 1 of 1)
AT1G19770	Chr1	6832799	6832822	Promoter
AT1G19850	Chr1	6889581	6889592	Exon (AT1G19850.1/AT1G19850, exon 11 of 13)
AT1G19910	Chr1	6913370	6913395	Promoter
AT1G19910	Chr1	6913501	6913533	Promoter
AT1G19910	Chr1	6913544	6913551	Exon (AT1G19910.1/AT1G19910, exon 2 of 3)
AT1G19910	Chr1	6914255	6914298	3' UTR
AT1G19950	Chr1	6924221	6924237	5' UTR
AT1G20000	Chr1	6937574	6937585	Promoter
AT1G20010	Chr1	6938800	6938808	Exon (AT1G20010.1/AT1G20010, exon 2 of 3)
AT1G20010	Chr1	6940174	6940196	Exon (AT1G20010.1/AT1G20010, exon 1 of 3)
AT1G20020	Chr1	6943281	6943314	5' UTR
AT1G20020	Chr1	6943378	6943424	5' UTR
AT1G20020	Chr1	6943821	6943834	Exon (AT1G20020.1/AT1G20020, exon 4 of 9)
AT1G20020	Chr1	6943962	6943969	Exon (AT1G20020.1/AT1G20020, exon 5 of 9)
AT1G20020	Chr1	6944371	6944376	Exon (AT1G20020.1/AT1G20020, exon 7 of 9)
AT1G20020	Chr1	6944653	6944695	Exon (AT1G20020.1/AT1G20020, exon 8 of 9)
AT1G20020	Chr1	6944820	6944846	Exon (AT1G20020.1/AT1G20020, exon 9 of 9)
AT1G20040	Chr1	6948860	6948892	Promoter
AT1G20050	Chr1	6949263	6949299	Promoter
AT1G20060	Chr1	6953836	6953848	Exon (AT1G20060.2/AT1G20060, exon 9 of 24)
AT1G20170	Chr1	6995283	6995298	Promoter
AT1G20170	Chr1	6995326	6995343	Promoter
AT1G20200	Chr1	7003115	7003124	Exon (AT1G20200.1/AT1G20200, exon 6 of 9)
AT1G20250	Chr1	7016552	7016590	Promoter
AT1G20260	Chr1	7017478	7017492	Exon (AT1G20260.1/AT1G20260, exon 3 of 15)
AT1G20260	Chr1	7017596	7017616	Exon (AT1G20260.1/AT1G20260, exon 4 of 15)
AT1G20260	Chr1	7018718	7018738	Exon (AT1G20260.1/AT1G20260, exon 8 of 15)
AT1G20330	Chr1	7039846	7039884	Promoter
AT1G20330	Chr1	7039954	7039971	Promoter
AT1G20340	Chr1	7042783	7043095	Promoter
AT1G20340	Chr1	7043098	7043178	Promoter
AT1G20340	Chr1	7043190	7043275	5' UTR
AT1G05547	Chr1	7050880	7050892	Promoter
AT1G20380	Chr1	7064235	7064248	Exon (AT1G20380.1/AT1G20380, exon 7 of 11)
AT1G20420	Chr1	7082706	7082739	Promoter
AT1G20440	Chr1	7084825	7084863	Exon (AT1G20440.1/AT1G20440, exon 2 of 2)
AT1G20440	Chr1	7085523	7085554	Exon (AT1G20440.1/AT1G20440, exon 1 of 2)
AT1G20570	Chr1	7122337	7122353	Exon (AT1G20570.2/AT1G20570, exon 15 of 16)
AT1G20580	Chr1	7128984	7129004	Promoter
AT1G20580	Chr1	7130110	7130135	Exon (AT1G20580.1/AT1G20580, exon 4 of 5)
AT1G20620	Chr1	7143552	7143564	5' UTR
AT1G20620	Chr1	7144222	7144257	5' UTR
AT1G20620	Chr1	7144633	7144637	5' UTR
AT1G20620	Chr1	7144653	7144692	5' UTR
AT1G20620	Chr1	7145005	7145029	Exon (AT1G20620.1/AT1G20620, exon 4 of 7)
AT1G20620	Chr1	7145535	7145562	Exon (AT1G20620.1/AT1G20620, exon 4 of 7)
AT1G20630	Chr1	7148241	7148254	Exon (AT1G20630.1/AT1G20630, exon 4 of 7)
AT1G05563	Chr1	7176130	7176151	3' UTR
AT1G20696	Chr1	7180092	7180093	5' UTR
AT1G20696	Chr1	7180372	7180382	Exon (AT1G20696.4/AT1G20696, exon 3 of 7)
AT1G20696	Chr1	7180576	7180580	Exon (AT1G20696.4/AT1G20696, exon 4 of 7)
AT1G20696	Chr1	7180674	7180700	Exon (AT1G20696.4/AT1G20696, exon 5 of 7)
AT1G20840	Chr1	7245964	7245984	Exon (AT1G20840.1/AT1G20840, exon 5 of 7)
AT1G20840	Chr1	7246629	7246640	Exon (AT1G20840.1/AT1G20840, exon 5 of 7)
AT1G20870	Chr1	7259272	7259284	3' UTR
AT1G20880	Chr1	7263668	7263678	Intron (AT1G20880.1/AT1G20880, intron 3 of 6)
AT1G20890	Chr1	7267058	7267064	5' UTR
AT1G20920	Chr1	7286932	7286946	Exon (AT1G20920.1/AT1G20920, exon 2 of 3)
AT1G20940	Chr1	7296215	7296227	Promoter
AT1G20950	Chr1	7300957	7300961	Exon (AT1G20950.1/AT1G20950, exon 2 of 19)
AT1G20960	Chr1	7306042	7306058	Exon (AT1G20960.1/AT1G20960, exon 3 of 5)
AT1G20980	Chr1	7328331	7328358	Exon (AT1G20980.1/AT1G20980, exon 9 of 10)
AT1G21065	Chr1	7374468	7374482	Promoter
AT1G21130	Chr1	7399558	7399582	Exon (AT1G21130.1/AT1G21130, exon 2 of 3)
AT1G21170	Chr1	7414905	7414912	Exon (AT1G21170.1/AT1G21170, exon 6 of 21)
AT1G21170	Chr1	7416627	7416641	Exon (AT1G21170.1/AT1G21170, exon 12 of 21)
AT1G21270	Chr1	7448448	7448466	3' UTR
AT1G21310	Chr1	7453852	7453860	Exon (AT1G21313.1/AT1G21313, exon 2 of 2)
AT1G21310	Chr1	7453866	7453903	Exon (AT1G21313.1/AT1G21313, exon 2 of 2)
AT1G21310	Chr1	7453911	7453986	Exon (AT1G21313.1/AT1G21313, exon 2 of 2)
AT1G21310	Chr1	7454035	7454054	Exon (AT1G21313.1/AT1G21313, exon 2 of 2)
AT1G21310	Chr1	7454118	7454139	Exon (AT1G21313.1/AT1G21313, exon 2 of 2)
AT1G21310	Chr1	7454202	7454216	Exon (AT1G21313.1/AT1G21313, exon 2 of 2)
AT1G21310	Chr1	7454229	7454253	Exon (AT1G21313.1/AT1G21313, exon 2 of 2)
AT1G21310	Chr1	7454309	7454317	Exon (AT1G21310.1/AT1G21310, exon 1 of 2)
AT1G21310	Chr1	7454327	7454355	Exon (AT1G21310.1/AT1G21310, exon 1 of 2)
AT1G21310	Chr1	7454410	7454444	Exon (AT1G21310.1/AT1G21310, exon 1 of 2)
AT1G21310	Chr1	7454470	7454487	Exon (AT1G21310.1/AT1G21310, exon 1 of 2)
AT1G21310	Chr1	7454561	7454609	Promoter
AT1G21310	Chr1	7454700	7454701	Promoter
AT1G21310	Chr1	7454706	7454727	Promoter
AT1G21320	Chr1	7465079	7465080	5' UTR
AT1G05667	Chr1	7491452	7491477	Promoter
AT1G21420	Chr1	7499734	7499748	Promoter
AT1G21450	Chr1	7510845	7510849	Exon (AT1G21450.1/AT1G21450, exon 2 of 2)
AT1G21500	Chr1	7530830	7530899	Promoter
AT1G21529	Chr1	7544504	7544526	Promoter
AT1G21530	Chr1	7546880	7546887	Promoter
AT1G21540	Chr1	7550465	7550473	Promoter
AT1G21600	Chr1	7573408	7573422	Promoter
AT1G21630	Chr1	7583297	7583314	Exon (AT1G21630.1/AT1G21630, exon 2 of 13)
AT1G21640	Chr1	7589589	7589603	Exon (AT1G21640.2/AT1G21640, exon 2 of 8)
AT1G21720	Chr1	7626578	7626616	Promoter
AT1G21760	Chr1	7650284	7650295	Exon (AT1G21760.2/AT1G21760, exon 4 of 10)
AT1G21800	Chr1	7656121	7656135	Promoter
AT1G21840	Chr1	7666663	7666675	5' UTR
AT1G21940	Chr1	7715936	7715952	Intron (AT1G21940.1/AT1G21940, intron 1 of 1)
AT1G22030	Chr1	7759487	7759501	Exon (AT1G22030.1/AT1G22030, exon 2 of 2)
AT1G22100	Chr1	7798770	7798786	Exon (AT1G22100.1/AT1G22100, exon 7 of 8)
AT1G22120	Chr1	7807510	7807522	Intron (AT1G22120.1/AT1G22120, intron 8 of 12)
AT1G22190	Chr1	7836293	7836305	Exon (AT1G22190.1/AT1G22190, exon 1 of 1)
AT1G22300	Chr1	7879250	7879250	3' UTR
AT1G22300	Chr1	7879276	7879287	3' UTR
AT1G22300	Chr1	7879636	7879652	Exon (AT1G22300.1/AT1G22300, exon 5 of 7)
AT1G22300	Chr1	7879662	7879678	Exon (AT1G22300.1/AT1G22300, exon 5 of 7)
AT1G22300	Chr1	7879866	7879894	Exon (AT1G22300.1/AT1G22300, exon 4 of 7)
AT1G22300	Chr1	7880148	7880163	Exon (AT1G22300.1/AT1G22300, exon 3 of 7)
AT1G22300	Chr1	7880615	7880646	Exon (AT1G22300.1/AT1G22300, exon 2 of 7)
AT1G22300	Chr1	7881037	7881062	Promoter
AT1G22360	Chr1	7895444	7895471	Exon (AT1G22360.1/AT1G22360, exon 2 of 2)
AT1G22360	Chr1	7897357	7897389	Promoter
AT1G22380	Chr1	7902063	7902070	Promoter
AT1G22410	Chr1	7912203	7912263	Promoter
AT1G22410	Chr1	7914642	7914645	Exon (AT1G22410.1/AT1G22410, exon 5 of 5)
AT1G22450	Chr1	7926413	7926458	Exon (AT1G22450.1/AT1G22450, exon 3 of 5)
AT1G22450	Chr1	7926862	7926910	Exon (AT1G22450.1/AT1G22450, exon 5 of 5)
AT1G22530	Chr1	7958040	7958053	Exon (AT1G22530.1/AT1G22530, exon 1 of 4)
AT1G22550	Chr1	7966857	7966871	Exon (AT1G22550.1/AT1G22550, exon 4 of 4)
AT1G22600	Chr1	7988408	7988420	Exon (AT1G22600.1/AT1G22600, exon 1 of 2)
AT1G22690	Chr1	8027385	8027389	Promoter
AT1G22690	Chr1	8027482	8027512	Promoter
AT1G22700	Chr1	8029118	8029145	Exon (AT1G22700.1/AT1G22700, exon 3 of 5)
AT1G22760	Chr1	8056635	8056647	Exon (AT1G22760.1/AT1G22760, exon 2 of 7)
AT1G22770	Chr1	8064450	8064463	Exon (AT1G22770.1/AT1G22770, exon 9 of 14)
AT1G22780	Chr1	8068323	8068337	Promoter
AT1G22780	Chr1	8068603	8068614	Exon (AT1G22780.1/AT1G22780, exon 3 of 4)
AT1G22830	Chr1	8076838	8076849	5' UTR
AT1G22840	Chr1	8080042	8080057	Exon (AT1G22840.1/AT1G22840, exon 2 of 3)
AT1G22930	Chr1	8119005	8119020	Exon (AT1G22930.1/AT1G22930, exon 5 of 11)
AT1G22990	Chr1	8139836	8139849	Exon (AT1G22990.1/AT1G22990, exon 3 of 3)
AT1G23020	Chr1	8150264	8150272	Exon (AT1G23020.1/AT1G23020, exon 10 of 10)
AT1G23020	Chr1	8152677	8152678	Exon (AT1G23020.1/AT1G23020, exon 5 of 10)
AT1G23040	Chr1	8165170	8165181	Promoter
AT1G23080	Chr1	8182380	8182386	Exon (AT1G23080.1/AT1G23080, exon 1 of 6)
AT1G23080	Chr1	8182935	8182945	Exon (AT1G23080.1/AT1G23080, exon 1 of 6)
AT1G23080	Chr1	8183210	8183226	Promoter
AT1G23080	Chr1	8183235	8183236	Promoter
AT1G23090	Chr1	8187396	8187400	Exon (AT1G23090.1/AT1G23090, exon 5 of 11)
AT1G23170	Chr1	8214090	8214102	Exon (AT1G23170.2/AT1G23170, exon 4 of 10)
AT1G23170	Chr1	8214213	8214231	Exon (AT1G23170.2/AT1G23170, exon 5 of 10)
AT1G23190	Chr1	8221921	8221943	Exon (AT1G23190.1/AT1G23190, exon 7 of 18)
AT1G23190	Chr1	8223248	8223266	Exon (AT1G23190.1/AT1G23190, exon 14 of 18)
AT1G23205	Chr1	8234621	8234658	Promoter
AT1G23260	Chr1	8257674	8257690	Exon (AT1G23260.1/AT1G23260, exon 3 of 5)
AT1G23290	Chr1	8263040	8263089	3' UTR
AT1G23290	Chr1	8263106	8263108	3' UTR
AT1G23290	Chr1	8263114	8263164	3' UTR
AT1G23290	Chr1	8263174	8263219	3' UTR
AT1G23290	Chr1	8263245	8263275	3' UTR
AT1G23290	Chr1	8263321	8263358	3' UTR
AT1G23310	Chr1	8268933	8268938	Exon (AT1G23310.1/AT1G23310, exon 13 of 14)
AT1G23310	Chr1	8269900	8269926	Exon (AT1G23310.1/AT1G23310, exon 8 of 14)
AT1G23310	Chr1	8269989	8269995	Exon (AT1G23310.1/AT1G23310, exon 8 of 14)
AT1G23310	Chr1	8271228	8271233	Exon (AT1G23310.1/AT1G23310, exon 2 of 14)
AT1G23400	Chr1	8313247	8313259	Exon (AT1G23400.1/AT1G23400, exon 4 of 6)
AT1G23400	Chr1	8314219	8314248	Exon (AT1G23400.1/AT1G23400, exon 1 of 6)
AT1G23490	Chr1	8337969	8338032	Exon (AT1G23490.1/AT1G23490, exon 5 of 7)
AT1G23490	Chr1	8338192	8338196	Exon (AT1G23490.1/AT1G23490, exon 6 of 7)
AT1G23540	Chr1	8349068	8349077	Exon (AT1G23540.1/AT1G23540, exon 1 of 8)
AT1G23590	Chr1	8359354	8359366	3' UTR
AT1G23720	Chr1	8389076	8389108	Exon (AT1G23720.2/AT1G23720, exon 1 of 1)
AT1G23720	Chr1	8389794	8389804	Exon (AT1G23720.2/AT1G23720, exon 1 of 1)
AT1G23720	Chr1	8389901	8389906	Exon (AT1G23720.2/AT1G23720, exon 1 of 1)
AT1G23720	Chr1	8390456	8390460	Exon (AT1G23720.2/AT1G23720, exon 1 of 1)
AT1G23720	Chr1	8390705	8390719	Exon (AT1G23720.2/AT1G23720, exon 1 of 1)
AT1G23730	Chr1	8397001	8397018	Exon (AT1G23730.2/AT1G23730, exon 4 of 8)
AT1G23730	Chr1	8398273	8398351	3' UTR
AT1G23740	Chr1	8399141	8399154	Exon (AT1G23740.1/AT1G23740, exon 2 of 4)
AT1G23740	Chr1	8399545	8399579	Promoter
AT1G23820	Chr1	8420867	8420897	Exon (AT1G23820.2/AT1G23820, exon 3 of 9)
AT1G05833	Chr1	8421623	8421638	Promoter
AT1G23820	Chr1	8422625	8422639	Intron (AT1G23820.2/AT1G23820, intron 8 of 8)
AT1G23880	Chr1	8437761	8437762	Intron (AT1G23880.2/AT1G23880, intron 4 of 5)
AT1G23900	Chr1	8442364	8442388	Exon (AT1G23900.3/AT1G23900, exon 3 of 18)
AT1G23900	Chr1	8442486	8442501	Exon (AT1G23900.3/AT1G23900, exon 4 of 18)
AT1G23970	Chr1	8482239	8482272	Exon (AT1G23970.1/AT1G23970, exon 6 of 6)
AT1G23970	Chr1	8482289	8482314	Exon (AT1G23970.1/AT1G23970, exon 6 of 6)
AT1G24020	Chr1	8500855	8500888	Exon (AT1G24020.1/AT1G24020, exon 2 of 2)
AT1G24020	Chr1	8501343	8501384	Exon (AT1G24020.1/AT1G24020, exon 1 of 2)
AT1G24050	Chr1	8508697	8508711	3' UTR
AT1G24180	Chr1	8561443	8561468	Exon (AT1G24180.1/AT1G24180, exon 4 of 8)
AT1G24180	Chr1	8563056	8563078	Promoter
AT1G24180	Chr1	8563264	8563279	Promoter
AT1G24220	Chr1	8579433	8579449	Exon (AT1G24220.2/AT1G24220, exon 9 of 11)
AT1G24280	Chr1	8611422	8611450	Exon (AT1G24280.1/AT1G24280, exon 7 of 10)
AT1G05873	Chr1	8613826	8613835	Exon (AT1G05873.1/AT1G05873, exon 1 of 1)
AT1G24340	Chr1	8637890	8637902	Exon (AT1G24340.1/AT1G24340, exon 9 of 10)
AT1G24485	Chr1	8680235	8680251	Exon (AT1G24485.4/AT1G24485, exon 3 of 4)
AT1G24570	Chr1	8709079	8709090	Exon (AT1G24570.2/AT1G24570, exon 13 of 15)
AT1G24706	Chr1	8744145	8744159	Exon (AT1G24706.3/AT1G24706, exon 6 of 32)
AT1G05913	Chr1	8756376	8756420	Promoter
AT1G24793	Chr1	8768188	8768202	Intron (AT1G24793.1/AT1G24793, intron 2 of 6)
AT1G24793	Chr1	8768703	8768717	Intron (AT1G24793.1/AT1G24793, intron 4 of 6)
AT1G24800	Chr1	8770118	8770147	Exon (AT1G24800.1/AT1G24800, exon 1 of 1)
AT1G24800	Chr1	8770165	8770194	Exon (AT1G24800.1/AT1G24800, exon 1 of 1)
AT1G24800	Chr1	8770295	8770320	Exon (AT1G24800.1/AT1G24800, exon 1 of 1)
AT1G24800	Chr1	8770344	8770346	Exon (AT1G24800.1/AT1G24800, exon 1 of 1)
AT1G24800	Chr1	8770879	8770909	Exon (AT1G24800.1/AT1G24800, exon 1 of 1)
AT1G24800	Chr1	8770922	8770934	Exon (AT1G24800.1/AT1G24800, exon 1 of 1)
AT1G24807	Chr1	8772407	8772436	Exon (AT1G24807.1/AT1G24807, exon 4 of 7)
AT1G24822	Chr1	8776026	8776044	5' UTR
AT1G24822	Chr1	8777043	8777046	Exon (AT1G24880.2/AT1G24880, exon 4 of 4)
AT1G24851	Chr1	8779163	8779191	3' UTR
AT1G24881	Chr1	8784498	8784526	Promoter
AT1G24881	Chr1	8784544	8784573	Exon (AT1G24881.1/AT1G24881, exon 1 of 1)
AT1G24881	Chr1	8784674	8784698	Exon (AT1G24881.1/AT1G24881, exon 1 of 1)
AT1G24881	Chr1	8784723	8784725	Exon (AT1G24881.1/AT1G24881, exon 1 of 1)
AT1G24881	Chr1	8785258	8785287	Exon (AT1G24881.1/AT1G24881, exon 1 of 1)
AT1G24881	Chr1	8785302	8785310	Exon (AT1G24881.1/AT1G24881, exon 1 of 1)
AT1G24909	Chr1	8786618	8786641	Exon (AT1G24909.1/AT1G24909, exon 5 of 7)
AT1G24909	Chr1	8786646	8786656	Exon (AT1G24909.1/AT1G24909, exon 5 of 7)
AT1G24909	Chr1	8786786	8786815	Exon (AT1G24909.1/AT1G24909, exon 4 of 7)
AT1G25054	Chr1	8805096	8805110	Intron (AT1G25054.1/AT1G25054, intron 2 of 6)
AT1G25054	Chr1	8805611	8805625	Intron (AT1G25054.1/AT1G25054, intron 4 of 6)
AT1G25055	Chr1	8807072	8807101	Promoter
AT1G25055	Chr1	8807203	8807227	Exon (AT1G25055.1/AT1G25055, exon 1 of 1)
AT1G25055	Chr1	8807252	8807254	Exon (AT1G25055.1/AT1G25055, exon 1 of 1)
AT1G25055	Chr1	8807787	8807816	Exon (AT1G25055.1/AT1G25055, exon 1 of 1)
AT1G25055	Chr1	8807831	8807839	Exon (AT1G25055.1/AT1G25055, exon 1 of 1)
AT1G25083	Chr1	8809140	8809169	Exon (AT1G25083.1/AT1G25083, exon 5 of 7)
AT1G25083	Chr1	8809315	8809344	Exon (AT1G25083.1/AT1G25083, exon 4 of 7)
AT1G25097	Chr1	8812932	8812950	Exon (AT1G25098.1/AT1G25098, exon 1 of 3)
AT1G25097	Chr1	8813949	8813952	Exon (AT1G25098.1/AT1G25098, exon 3 of 3)
AT1G25145	Chr1	8819474	8819488	Intron (AT1G25145.1/AT1G25145, intron 2 of 6)
AT1G25145	Chr1	8819989	8820003	Intron (AT1G25145.1/AT1G25145, intron 4 of 6)
AT1G25150	Chr1	8821405	8821433	Promoter
AT1G25150	Chr1	8821451	8821480	Promoter
AT1G25150	Chr1	8821581	8821605	Exon (AT1G25150.2/AT1G25150, exon 1 of 1)
AT1G25150	Chr1	8821630	8821632	Exon (AT1G25150.2/AT1G25150, exon 1 of 1)
AT1G25150	Chr1	8822165	8822194	Exon (AT1G25150.2/AT1G25150, exon 1 of 1)
AT1G25150	Chr1	8822209	8822220	Exon (AT1G25150.2/AT1G25150, exon 1 of 1)
AT1G25155	Chr1	8823525	8823548	Exon (AT1G25155.1/AT1G25155, exon 5 of 7)
AT1G25155	Chr1	8823553	8823563	Exon (AT1G25155.1/AT1G25155, exon 5 of 7)
AT1G25155	Chr1	8823693	8823722	Exon (AT1G25155.1/AT1G25155, exon 4 of 7)
AT1G25175	Chr1	8827307	8827328	Promoter
AT1G25180	Chr1	8830447	8830475	3' UTR
AT1G05927	Chr1	8836544	8836570	Promoter
AT1G05927	Chr1	8836589	8836595	Promoter
AT1G25220	Chr1	8837496	8837497	Exon (AT1G25220.2/AT1G25220, exon 8 of 8)
AT1G25220	Chr1	8837502	8837512	Exon (AT1G25220.2/AT1G25220, exon 8 of 8)
AT1G25220	Chr1	8837690	8837703	Exon (AT1G25220.2/AT1G25220, exon 7 of 8)
AT1G25220	Chr1	8837890	8837935	Exon (AT1G25220.2/AT1G25220, exon 6 of 8)
AT1G25230	Chr1	8842191	8842212	5' UTR
AT1G25260	Chr1	8854176	8854196	Exon (AT1G25260.1/AT1G25260, exon 8 of 8)
AT1G25275	Chr1	8860799	8860799	Promoter
AT1G25275	Chr1	8860965	8860976	Promoter
AT1G25275	Chr1	8861127	8861136	Exon (AT1G25275.1/AT1G25275, exon 3 of 3)
AT1G25350	Chr1	8891978	8891987	Exon (AT1G25350.1/AT1G25350, exon 10 of 22)
AT1G25380	Chr1	8904109	8904123	Intron (AT1G25380.1/AT1G25380, intron 2 of 8)
AT1G25390	Chr1	8906662	8906675	Exon (AT1G25390.2/AT1G25390, exon 4 of 5)
AT1G25440	Chr1	8934483	8934495	Exon (AT1G25440.1/AT1G25440, exon 1 of 2)
AT1G25440	Chr1	8935004	8935005	Exon (AT1G25440.1/AT1G25440, exon 1 of 2)
AT1G25440	Chr1	8935027	8935050	Promoter
AT1G25530	Chr1	8966371	8966385	Intron (AT1G25530.1/AT1G25530, intron 3 of 6)
AT1G25550	Chr1	8976686	8976695	Promoter
AT1G25550	Chr1	8977126	8977165	Exon (AT1G25550.1/AT1G25550, exon 2 of 4)
AT1G25560	Chr1	8982661	8982700	Exon (AT1G25560.1/AT1G25560, exon 1 of 1)
AT1G25570	Chr1	8995354	8995409	Promoter
AT1G26110	Chr1	9025295	9025308	Exon (AT1G26110.1/AT1G26110, exon 6 of 8)
AT1G26110	Chr1	9026466	9026504	Exon (AT1G26110.1/AT1G26110, exon 4 of 8)
AT1G26110	Chr1	9027452	9027466	Promoter
AT1G26190	Chr1	9059789	9059801	Intron (AT1G26190.5/AT1G26190, intron 4 of 12)
AT1G26190	Chr1	9060093	9060105	Exon (AT1G26190.5/AT1G26190, exon 3 of 13)
AT1G05997	Chr1	9076445	9076482	Promoter
AT1G26430	Chr1	9143846	9143865	Promoter
AT1G26490	Chr1	9158237	9158255	Promoter
AT1G26630	Chr1	9206028	9206063	Promoter
AT1G26630	Chr1	9206467	9206490	Exon (AT1G26630.1/AT1G26630, exon 2 of 5)
AT1G26630	Chr1	9206564	9206569	Exon (AT1G26630.1/AT1G26630, exon 2 of 5)
AT1G26630	Chr1	9206673	9206723	Exon (AT1G26630.1/AT1G26630, exon 3 of 5)
AT1G26630	Chr1	9206831	9206870	Exon (AT1G26630.1/AT1G26630, exon 4 of 5)
AT1G26630	Chr1	9206878	9206891	Exon (AT1G26630.1/AT1G26630, exon 4 of 5)
AT1G26630	Chr1	9206994	9207014	3' UTR
AT1G26630	Chr1	9207048	9207080	3' UTR
AT1G26740	Chr1	9245847	9245868	Exon (AT1G26740.1/AT1G26740, exon 2 of 3)
AT1G26740	Chr1	9246295	9246332	Promoter
AT1G26850	Chr1	9302116	9302127	Exon (AT1G26850.1/AT1G26850, exon 4 of 7)
AT1G26850	Chr1	9303315	9303326	Exon (AT1G26850.1/AT1G26850, exon 2 of 7)
AT1G26880	Chr1	9315660	9315707	3' UTR
AT1G26880	Chr1	9315727	9315734	3' UTR
AT1G26880	Chr1	9315820	9315842	Exon (AT1G26880.1/AT1G26880, exon 3 of 4)
AT1G26880	Chr1	9316426	9316472	Exon (AT1G26880.1/AT1G26880, exon 2 of 4)
AT1G26910	Chr1	9322202	9322237	Exon (AT1G26910.1/AT1G26910, exon 2 of 3)
AT1G26945	Chr1	9351667	9351694	Exon (AT1G26945.1/AT1G26945, exon 1 of 2)
AT1G27000	Chr1	9376030	9376039	Exon (AT1G27000.1/AT1G27000, exon 11 of 13)
AT1G27030	Chr1	9382316	9382336	Exon (AT1G27030.1/AT1G27030, exon 3 of 7)
AT1G27090	Chr1	9405195	9405204	Exon (AT1G27090.1/AT1G27090, exon 2 of 4)
AT1G27090	Chr1	9405516	9405561	Exon (AT1G27090.1/AT1G27090, exon 1 of 4)
AT1G27090	Chr1	9405809	9405820	Exon (AT1G27090.1/AT1G27090, exon 1 of 4)
AT1G27090	Chr1	9405998	9406017	Promoter
AT1G27130	Chr1	9425775	9425781	Promoter
AT1G27130	Chr1	9425810	9425828	Exon (AT1G27130.1/AT1G27130, exon 1 of 2)
AT1G27130	Chr1	9426470	9426500	Exon (AT1G27130.1/AT1G27130, exon 2 of 2)
